fake_id,187_total,501_total,502_total,503_total,505_total,506_total,leader,leader_total,margin_of_victory
1651-1657,54,502,412,613,135,38,503,613,111
3297-3310,117,1269,650,1034,203,73,501,1269,235
1400-1403,32,271,236,336,74,38,503,336,65
4712-4715,55,225,337,293,65,34,502,337,44
5912-5925,143,549,1340,1221,161,73,502,1340,119
5488-5500,117,687,1139,1145,202,77,503,1145,6
2111-2120,125,531,932,787,141,72,502,932,145
4252-4262,142,626,884,980,135,76,503,980,96
1066-1076,103,546,863,769,157,54,502,863,94
3457-3463,64,444,393,662,80,85,503,662,218
6027-6029,14,81,307,359,16,6,503,359,52
617-627,67,339,1165,933,132,55,502,1165,232
7259-7268,133,571,779,807,185,58,503,807,28
4403-4407,68,309,417,434,76,27,503,434,17
4443-4446,41,202,373,320,61,31,502,373,53
6761-6774,140,740,1148,1226,221,83,503,1226,78
768-773,28,118,569,673,36,13,503,673,104
5130-5138,117,538,690,805,159,56,503,805,115
1698-1706,57,433,615,762,125,54,503,762,147
5804-5816,107,422,1296,1203,151,84,502,1296,93
6896-6908,200,746,1011,959,219,115,502,1011,52
3042-3045,40,220,288,286,52,25,502,288,2
5966-5972,48,214,661,704,85,31,503,704,43
4466-4469,44,213,306,362,57,24,503,362,56
4816-4820,53,322,406,393,65,29,502,406,13
4519-4525,73,394,558,555,116,59,502,558,3
2344-2351,104,462,648,571,137,72,502,648,77
250-264,109,527,1140,1160,165,63,503,1160,20
2997-3006,92,637,765,829,144,45,503,829,64
7109-7117,98,614,650,655,187,53,503,655,5
5563-5567,34,294,419,433,78,24,503,433,14
5102-5107,71,254,588,506,89,23,502,588,82
6449-6463,94,429,1452,1615,122,56,503,1615,163
240-249,88,442,762,809,104,42,503,809,47
1959-1965,62,427,460,636,116,30,503,636,176
5518-5528,120,653,845,1019,161,64,503,1019,174
1442-1451,94,626,654,786,172,61,503,786,132
6547-6559,95,378,1242,1283,122,48,503,1283,41
3678-3686,65,743,461,783,132,25,503,783,40
340-347,75,476,538,545,126,49,503,545,7
6923-6935,186,775,1001,899,210,112,502,1001,102
6622-6624,27,124,308,237,33,20,502,308,71
874-878,26,131,367,362,41,13,502,367,5
5608-5614,80,336,751,572,94,45,502,751,179
3178-3188,98,458,1099,922,153,79,502,1099,177
1944-1951,59,376,470,564,144,27,503,564,94
1567-1577,38,1285,303,698,109,33,501,1285,587
1901-1910,77,763,526,815,135,38,503,815,52
1884-1890,36,537,367,587,133,25,503,587,50
2014-2020,63,489,529,482,114,57,502,529,40
7118-7127,137,682,700,732,177,62,503,732,32
348-356,84,548,609,614,148,47,503,614,5
6204-6213,71,313,942,1021,118,49,503,1021,79
7026-7043,248,1131,1452,1318,303,154,502,1452,134
663-675,97,413,1304,1197,131,50,502,1304,107
3464-3472,74,541,636,934,119,41,503,934,298
537-559,90,697,1834,2432,155,62,503,2432,598
6103-6105,19,85,270,357,27,14,503,357,87
4324-4330,87,376,632,562,125,38,502,632,70
3787-3797,93,711,791,921,177,93,503,921,130
2634-2643,118,416,1015,873,129,77,502,1015,142
3779-3786,49,831,271,638,94,35,501,831,193
6152-6164,143,647,1232,1045,187,95,502,1232,187
2033-2042,93,675,726,792,187,71,503,792,66
6743-6749,77,327,629,580,100,38,502,629,49
2043-2055,161,847,1041,1031,197,100,502,1041,10
68-72,17,105,415,658,24,2,503,658,243
1077-1084,52,440,523,589,127,37,503,589,66
5621-5627,57,294,567,508,96,42,502,567,59
832-839,28,158,745,947,46,14,503,947,202
4797-4803,103,400,658,564,108,32,502,658,94
2177-2189,148,757,1060,1002,188,79,502,1060,58
4984-4994,112,539,981,993,158,52,503,993,12
560-567,14,114,555,937,27,4,503,937,382
331-339,68,487,541,795,132,36,503,795,254
6237-6246,72,335,995,1031,96,44,503,1031,36
11-17,57,485,449,488,115,55,503,488,3
1897-1900,25,259,238,341,71,19,503,341,82
4838-4844,91,353,670,581,101,43,502,670,89
6849-6857,85,548,765,637,151,93,502,765,128
5275-5283,110,408,861,857,117,51,502,861,4
4878-4889,127,635,1123,1030,177,61,502,1123,93
1589-1593,44,300,284,406,82,33,503,406,106
6560-6566,54,199,654,698,59,43,503,698,44
5539-5547,82,464,754,831,136,49,503,831,77
2973-2979,73,457,546,559,99,55,503,559,13
1267-1277,78,678,671,899,165,60,503,899,221
4152-4156,63,265,423,423,70,25,502,423,0
1306-1310,33,258,338,361,83,26,503,361,23
4086-4092,58,410,535,698,91,24,503,698,163
7134-7139,89,410,381,441,129,59,503,441,31
505-514,79,648,521,680,150,47,503,680,32
4463-4465,24,134,169,159,35,9,502,169,10
5973-5991,62,365,1810,2399,116,56,503,2399,589
4978-4983,61,265,558,560,81,44,503,560,2
1293-1296,45,239,275,326,68,19,503,326,51
6085-6090,39,175,597,664,60,21,503,664,67
1488-1498,110,637,795,837,204,77,503,837,42
807-814,25,168,694,962,39,15,503,962,268
4973-4977,55,242,472,418,68,28,502,472,54
327-330,36,246,247,334,56,15,503,334,87
3219-3234,142,684,1492,1372,205,108,502,1492,120
2234-2238,61,302,391,392,79,42,503,392,1
4629-4635,94,390,636,530,111,47,502,636,106
3380-3388,45,828,358,812,122,25,501,828,16
642-647,43,201,582,536,62,33,502,582,46
1377-1383,150,454,448,548,100,49,503,548,94
5345-5353,103,463,815,829,150,43,503,829,14
6427-6432,21,98,518,836,24,7,503,836,318
7203-7212,125,556,851,803,194,59,502,851,48
7338-7342,58,280,457,411,76,26,502,457,46
6247-6258,105,405,1142,1140,141,56,502,1142,2
1680-1687,80,428,641,745,125,35,503,745,104
6686-6690,45,229,443,385,65,33,502,443,58
1666-1679,136,739,1107,1300,205,59,503,1300,193
2474-2476,46,171,256,220,47,25,502,256,36
4869-4877,92,416,874,719,104,49,502,874,155
1688-1695,58,440,582,770,113,42,503,770,188
6677-6685,88,400,860,632,125,57,502,860,228
