mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
10,VotosCandidaturaMesasDNacionales,1,1,187,101,1,1,,1,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
10,VotosCandidaturaMesasDNacionales,1,1,501,620,2,1,,2,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
10,VotosCandidaturaMesasDNacionales,1,1,502,577,3,1,,3,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
10,VotosCandidaturaMesasDNacionales,1,1,503,646,4,1,,4,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
10,VotosCandidaturaMesasDNacionales,1,1,505,155,5,1,,5,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
10,VotosCandidaturaMesasDNacionales,1,1,506,52,6,1,,6,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,187,173,7,1,,7,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,501,932,8,1,,8,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,502,952,9,1,,9,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,503,923,10,1,,10,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,505,250,11,1,,11,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
31,VotosCandidaturaMesasDNacionales,18,1,506,99,12,1,,12,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,187,57,13,1,,13,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,501,485,14,1,,14,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,502,449,15,1,,15,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,503,488,16,1,,16,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,505,115,17,1,,17,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
17,VotosCandidaturaMesasDNacionales,11,1,506,55,18,1,,18,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
45,VotosCandidaturaMesasDNacionales,32,1,187,151,19,1,,19,2013-10-29 01:48:28.187051,2013-10-29 01:48:29.01991
